Collection Name,SKU,Title,Weight Value,Weight Unit
Coaster,JCB-MER-COASTER,Jerky.com - Coaster,0,lbs
DeepFriedPeanuts,JCB-DFP-62-5,Jerky.com - Old Bay Seasoned Deep Fried Peanuts - 10 oz.,10,oz
DeepFriedPeanuts,JCB-DFP-13-5,Jerky.com - Roasted Garlic Deep Fried Peanuts - 10 oz.,10,oz
DeepFriedPeanuts,JCB-DFP-14-5,Jerky.com - Simply Salted Deep Fried Peanuts - 10 oz.,10,oz
DeepFriedPeanuts,JCB-DFP-11-5,Jerky.com - Spicy Hot Deep Fried Peanuts - 10 oz.,10,oz
DFP3pack,JCB-DFP-14-5-X3,Simply Salted Deep Fried Peanuts - 3 Pack,30,oz
DFP3pack,JCB-DFP-13-5-X3,Roasted Garlic Deep Fried Peanuts - 3 Pack,30,oz
DFP3pack,JCB-DFP-5-5-X3,Spicy Hot Deep Fried Peanuts - 3 Pack,30,oz
DFPAssortment30oz,JCB-DFP-A3-5,Deep Fried Peanut Sampler,30,oz
DiversionBag,JCB-MER-DB-1,Diversion Bag - A-Tips,1,oz
DiversionBag,JCB-MER-DB-2,Diversion Bag - Super Colon Scrub,1,oz
DiversionBag,JCB-MER-DB-3,Diversion Bag - Veggie Pops,1,oz
GiftContainer8x8x6,JCB-GFT-C-BOX-MED,Medium Fully Printed Gift Box (8 x 8 x 6),0.9,oz
GiftContainer8x8x8,BUILDBOX,Build Your Own Jerky Gift Box,0,lbs
GiftContainer8x8x8,JCB-GFT-C-BOX-WHITE,White Fully Printed Gift Box (8 x 8 x 8) - DROPBOX,0,lbs
GiftContainerBagBurlap,BUILDBAG,Build Your Own Jerky Gift Bag,0,lbs
GiftContainerBagBurlapBag,JCB-GFT-C-BURLAPBAG,"10"" x 12"" Burlap Gift Bag",0.5,oz
GiftContainerBagBurlapBag,JCB-GFT-C-BURLAPBAG-E,"10"" x 12"" Burlap Gift Bag - Embroidered",0.5,oz
GiftContainerBagCanvas,JCB-GFTBAG-CANVAS,"8"" X 15"" Canvas Gift Bag",0,lbs
GiftContainerBagCanvas,JCB-GFTBAG-CANVAS-E,"8"" X 15"" Canvas Gift Bag - Embroidered",0,lbs
GiftContainerBagCanvas,KLM-GFT-MS-VS-10X+2,12 Piece Meat Stick Gift Bag,0,lbs
GiftContainerBagCanvas,KLM-GFT-MS-VS-25X+5,30 Piece Meat Stick Gift Bag,0,lbs
GiftContainerBagCanvas,JCB-GFTBAG-CANVAS-GOLD,Test Kitchen - Gold Embroidered Canvas Bag,0,lbs
GiftContainerBagCanvas,JCB-GFTBAG-CANVAS-SILVER,Test Kitchen - Silver Embroidered Canvas Bag,0,lbs
GiftContainerBagCanvas,JCB-GFTBAG-CANVAS-BRONZE,Test Kitchen - Bronze Embroidered Canvas Bag,0,lbs
GiftContainerBagCanvas,JCB-GFT-BJV-MS-12PC,Beef Jerky & Meat Sticks Variety Pack Gift Bag - 12 Pieces,10.8,oz
GiftContainerBagCanvas,JCB-GFT-BJV-14PC,Beef Jerky Variety Pack Sampler Gift Bag 14 bags,15,oz
GiftContainerBagCanvas,JCB-GB-WGJSSGB-RS,Exotic Jerky Gift Basket - 12 exotic sticks,15.99,oz
GiftContainerBagCanvas,JCB1042-K,Extra Mile Gift Bag,18,oz
GiftContainerBagCanvas,JCB-GFT-BJV-MS-28PC,Beef Jerky & Meat Sticks Variety Pack Gift Bag - 28 Pieces,25.2,oz
GiftContainerBagCanvas,JCB-GB-WGJSSGB-RS-X2-FBANew,Exotic Jerky Gift Basket - Double the Meat,31.98,oz
GiftContainerBagCanvasOverfilled,JCB1042-K-X2,Extra Mile Gift Bag - 2X The Meat (52 Sticks),36,oz
GiftContainerBox8x8x3,JCB-GFT-C-BOX-SM,Small Fully Printed Gift Box (8 x 8 x 3),0.6,oz
GiftContainerBox8x8x3,JCB-GFT-EJSGB,Exotic Jerky Snacks Gift Box - 8 Items,16,oz
GiftContainerBox8x8x3,BTJ-STS-GFT-STBJGB,Soft and Tender Style Beef Jerky Gift Box - 5 bags,22,oz
GiftContainerBox8x8x3,JCB-GFT-BJSGB,Beef Jerky Snacks Gift Box - 10 Items,23,oz
GiftContainerBox8x8x8,JCB1035-K,Ultimate Jerky Gift Box - 11 Bags,40,oz
GiftContainerBox9x9x7,JCB-GFT-C-BOX-LRG,Large Fully Printed Gift Box (9 x 9 x 7),0.7,oz
GiftContainerBoxBeefCase,JCB-GFT-BCGB,The Beef Case,0,lbs
GiftContainerBoxBeefCase,JCB-GFC-BFCS,Beef Case Box (Container Only),2,lbs
GiftContainerCanvas,JCB-GFT-BJV-10PC,Beef Jerky Variety Pack Sampler Gift Bag 10 bags,11,oz
GiftContainerStockingLarge,JCB-GFTBAG-XSTOCK-BLACK,"Jerky.com Christmas Stocking - Black (19.5"" x 8"")",4,oz
GiftContainerStockingLarge,JCB-GFTBAG-XSTOCK-WHITE,"Jerky.com Christmas Stocking - White (19.5"" x 8"")",4,oz
GiftContainerStockingLarge,JCB-GFTBAG-XSTOCK-RED,"Jerky.com Christmas Stocking - Red (19.5"" x 8"")",4,oz
GiftContainerStockingLarge,JCB-GFTBAG-XSTOCK-GREEN,"Jerky.com Christmas Stocking - Green (19.5"" x 8"")",4,oz
GiftContainerStockingLarge,JCB-GFT-BEEF-S-BSTOCKING,Beef Jerky Stocking Bundle,22,oz
GiftContainerStockingLarge,JCB-GFT-EXOTIC-S-BSTOCKING,Exotic Jerky Stocking Bundle,22,oz
GiftContainerStockingLarge,JCB-GFT-HOT-S-BSTOCKING,Hot Jerky Stocking Bundle,22,lbs
GiftContainerStockingSmall,JCB-GFT-A12-XSTOCK,12 pc. Snack Stick Gift Stocking,0,lbs
GiftContainerStockingSmall,JCB-GFTBAG-XSTOCK-RED-SM,Jerky.com Christmas Stocking - Red,2,oz
Insert,JCB-FD-BALLOT,Test Kitchen - Flavor Drop Ballot,0,lbs
Insert,JCB-WHBJ-INSERT,World's Hottest Beef Jerky - Ballot Insert,0,oz
Insert,JCB-WHBJ-INSERT-2,World's Hottest Beef Jerky - Coin Insert,0,lbs
Insert,JCB-QZ-BALLOT-CB,Quiz Follow-Up Ballot - Chipotle Bourbon,0,oz
Insert,JCB-QZ-BALLOT-GP,Quiz Follow-Up Ballot - Ghost Pepper,0,oz
Insert,JCB-QZ-BALLOT-HP,Quiz Follow-Up Ballot - Soft & Tender Honey Pepper,0,oz
Insert,JCB-CUSTOM-GC,Jerky.com Gift Card - Custom Amount,0,lbs
Insert,JCB-MER-KZ-WHITE,Jerky.com White Koozie,0,lbs
Insert,JCB-MER-KZ-GREEN,Jerky.com Green Koozie,0,lbs
Insert,JCB-MER-KZ-YELLOW,Jerky.com Yellow Koozie,0,lbs
Insert,JCB-MER-KZ-BLUE,Jerky.com Blue Koozie,0,lbs
Insert,JCB-THANK-YOU-INSERT-TT,"TikTok Thank You Insert 4"" X 6""",0,lbs
Insert,JCB-DISCOUNT-INSERT-AMZ,"Amazon Discount Insert 4"" X 6""",0,lbs
Insert,JCB-FD-COIN,Test Kitchen - Flavor Drop Coin,0.5,oz
Insert,JCB-FD-MEMBER-COIN,Test Kitchen - Flavor Drop Membership Coin,0.5,oz
Insert,JCB-WHBJ-CAC,World's Hottest Beef Jerky - Challenge Accepted Coin,0.5,oz
Insert,JCB-WHBJ-CABDC,World's Hottest Beef Jerky - Challenge Accepted Black Diamond Coin,0.5,oz
Insert,JCB-WHBJ-CDC,World's Hottest Beef Jerky - Challenge Defeated Coin,0.5,oz
Insert,JCB-ANNIV-COIN,Test Kitchen - Anniversary Drop Coin,0.5,oz
Insert,JCB-WHBJ-GLOVES,World's Hottest Beef Jerky - Gloves,1,oz
Insert,O2-AB-X5,Taste Makers - Oxygen Absorber 5 Pack,1,oz
Insert,JCB-TK-EG-DB-C,Evergreen Drop Box - Worcestershire Coin,1,oz
Insert,JCB-MER-KZ,Jerky.com Black Koozie,1,oz
Insert,JCB-MER-KZ-TY,Jerky.com Black Koozie w/ Thank You Card,1,oz
Insert,JCB-BEJ-92-13-BD,World's Hottest Beef Jerky - Black Diamond,3.5,oz
JekryAssortment25oz,JCB-CMB-VP-10B,Beef Jerky Variety Pack - 10 bags,25,oz
Jerky 1.75x3,JCB-ELJ-1-1-X3,Original Elk - 3 Pack,5.25,oz
Jerky 1.75x3,JCB-VEJ-1-1-X3,Original Venison - 3 Pack,5.25,oz
Jerky 1.75x3,JCB-BUJ-3-1-X3,Original Buffalo - 3 Pack,5.25,oz
Jerky 1.75x3,JCB-ELJ-A3-1,Elk Jerky Sampler,5.25,oz
Jerky 1.75x3,JCB-LAJ-1-1-X3,Lamb 3 Pack,5.25,oz
Jerky 1.75x3,JCB-ELJ-2-1-X3,Teriyaki Elk 3 Pack,5.25,oz
Jerky 1.75x3,JCB-BUJ-A3-1,Jerky.com's Buffalo Jerky Sampler - TESTER 3 PACK,5.25,oz
Jerky 1.75x3,JCB-BAC-6-1-X3,Maple Bacon - 3 Pack,5.25,oz
Jerky 1.75x3,JCB-FIJ-1-A3,All Natural Fish Jerky Sampler - TESTER 3 PACK,5.25,oz
Jerky 1.75x3,JCB-BUJ-2-1-X3,Teriyaki Buffalo - 3 Pack,5.25,oz
Jerky 1.75x3,JCB-ALJ-1-X3,Original Alligator - 3 Pack,5.25,oz
Jerky 1.75x3,JCB-VEJ-A3-1,Jerky.com's Venison Jerky Sampler - TESTER 3 PACK,5.25,oz
Jerky 1.75x3,JCB-ALJ-28-1-X3,Cajun Alligator - 3 Pack,5.25,oz
Jerky 1.75x3,JCB-VEJ-5-1-X3,Hot Venison - 3 Pack,5.25,oz
Jerky 1.75x3,JCB-VEJ-2-1-X3,Teriyaki Venison - 3 Pack,5.25,oz
Jerky 1.75x3,JCB-WBJ-1-1-X3,Original Wild Boar - 3 Pack,5.25,oz
Jerky 1.75x3,JCB-SAJ-1-X3,Original Salmon 3 Pack,5.25,oz
Jerky1.75oz,JCB-ANJ-1-17,Jerky.com - Original Antelope Jerky - 1.75 oz.,1.5,oz
Jerky1.75oz,JCB-BUJ-30-4,Test Kitchen - Chipotle Bourbon Buffalo Jerky - 1.5oz,1.5,oz
Jerky1.75oz,JCB-FIJ-AHT-1-17,Jerky.com - Original Ahi Tuna Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-ALJ-28-17,Jerky.com - Cajun Alligator Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-ALJ-20-17,Jerky.com - Hickory Alligator Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-ALJ-1-17,Jerky.com - Original Alligator Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-WBJ-10-17,Jerky.com - BBQ Boar Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-WBJ-6-17,Jerky.com - Maple Boar Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-WBJ-1-17,Jerky.com - Original Boar Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-BUJ-5-17,Jerky.com - Hot Buffalo Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-BUJ-1-17,Jerky.com - Original Buffalo Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-BUJ-2-17,Jerky.com - Teriyaki Buffalo Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-ELJ-5-17,Jerky.com - Hot Elk Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-ELJ-1-17,Jerky.com - Original Elk Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-ELJ-2-17,Jerky.com - Teriyaki Elk Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-KAJ-1-17,Jerky.com - Original Kangaroo Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-LAJ-1-17,Jerky.com - Original Lamb Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-RTJ-1-17,Jerky.com - Original Rainbow Trout Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-SAJ-1-17,Jerky.com - Original Salmon Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-VEJ-5-17,Jerky.com - Hot Venison Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-VEJ-1-17,Jerky.com - Original Venison Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-VEJ-2-17,Jerky.com - Teriyaki Venison Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-BAJ-1-17,Jerky.com - Original Bacon Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-BAJ-10-17,Jerky.com - Barbecue Bacon Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-BAJ-12-17,Jerky.com - Honey Pepper Bacon Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-BAJ-38-17,Jerky.com - Jalapeno Bacon Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-BAJ-42-17,Jerky.com - Sriracha Bacon Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-BAJ-6-17,Jerky.com - Maple Bacon Jerky - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-OSJ-1-17,Jerky.com - Original Ostrich - 1.75 oz.,1.75,oz
Jerky1.75oz,JCB-BAJ-163-17,Test Kitchen - Maple Sriracha Bacon Jerky1.75oz,1.75,oz
Jerky1oz,JCB-BEJ-3-13,Jerky.com - Black Pepper Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-BEJ-5-13,Jerky.com - Hot Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-BEJ-1-13,Jerky.com - Original Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-BEJ-4-13,Jerky.com - Sweet and Spicy Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-BEJ-2-13,Jerky.com - Teriyaki Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-WBJ-1-13,Jerky.com - Original Boar Jerky - 1 oz.,1,oz
Jerky1oz,JCB-BUJ-1-13,Jerky.com - Original Buffalo Jerky - 1 oz.,1,oz
Jerky1oz,JCB-ELJ-1-13,Jerky.com - Original Elk Jerky - 1 oz.,1,oz
Jerky1oz,JCB-VEJ-1-13,Jerky.com - Original Venison Jerky - 1 oz.,1,oz
Jerky1oz,JCB-BEJ-92-13-SINGLE,Jerky.com - World's Hottest Beef Jerky - 1 piece,1,oz
Jerky1oz,JCB-BEJ-74-13,Jerky.com - Blackened Cajun Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-BEJ-26-13,Jerky.com - Habanero Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-BEJ-8-13,Jerky.com - Honey Teriyaki Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-BEJ-30-13,Jerky.com - Chipotle Bourbon Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-BEJ-27-13,Jerky.com - Ghost Pepper Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-BEJ-50-13,Jerky.com - Carolina Reaper Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-BEJ-157-13,Jerky.com - Honey Bourbon Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-BEJ-18-13,Jerky.com - Whiskey BBQ Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-BEJ-41-13,Jerky.com - Red Wine Beef Jerky - 1 oz.,1,oz
Jerky1oz,OJC-BEJ-13-13,Oklahoma Jerky Company - Garlic Beef Jerky - 1 oz.,1,oz
Jerky1oz,OJC-BEJ-20-13,Oklahoma Jerky Company - Hickory Beef Jerky - 1 oz.,1,oz
Jerky1oz,OJC-BEJ-3-13,Oklahoma Jerky Company - Peppered Beef Jerky - 1 oz.,1,oz
Jerky1oz,OJC-BEJ-38-13,Oklahoma Jerky Company - Jalapeno Beef Jerky - 1 oz.,1,oz
Jerky1oz,OJC-BEJ-5-13,Oklahoma Jerky Company - Hot Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-BEJ-130-13,Test Kitchen - Prime Rib Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-TRI-30-13,Test Kitchen - Chipotle Bourbon Tri-Tip Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-TRI-1-13,Test Kitchen - Original Tri-Tip Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-TRI-8-13,Test Kitchen - Honey Teriyaki Tri-Tip Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-BSJ-2-13,Test Kitchen - Teriyaki Brisket Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-BSJ-3-13,Test Kitchen - Black Pepper Brisket Beef Jerky - 1 oz.,1,oz
Jerky1oz,JCB-BSJ-4-13,Test Kitchen - Sweet & Spicy Brisket Beef Jerky - 1 oz.,1,oz
Jerky2.5oz,JCB-JOTW-1BAG,The Jerky of the Week Club - 1 bag,0,lbs
Jerky2.5oz,LIVE-MYSTERY-BAG-2,Mystery Bag,0,lbs
Jerky2.5oz,JERKY-FOM,Flavor of the Month,2,oz
Jerky2.5oz,GRAB-BAG-X1,Grab Bag Sale - 1 Mystery Bag,2,oz
Jerky2.5oz,BTJ-BEJ-13-16,Bricktown Jerky - Soft & Tender Garlic Beef Jerky - 2.5 oz.,2.5,oz
Jerky2.5oz,BTJ-BEJ-12-16,Bricktown Jerky - Soft & Tender Honey Pepper Beef Jerky - 2.5 oz.,2.5,oz
Jerky2.5oz,BTJ-BEJ-72-16,Bricktown Jerky - Soft & Tender Mango Jalapeno Beef Jerky - 2.5 oz. - DISCONTINUED,2.5,oz
Jerky2.5oz,BTJ-BEJ-1-16,Bricktown Jerky - Soft & Tender Original Beef Jerky - 2.5 oz.,2.5,oz
Jerky2.5oz,BTJ-BEJ-70-16,Bricktown Jerky - Soft & Tender Pale Ale Beer Beef Jerky - 2.5 oz.,2.5,oz
Jerky2.5oz,BTJ-BEJ-41-16,Bricktown Jerky - Soft & Tender Red Wine Beef Jerky - 2.5 oz.,2.5,oz
Jerky2.5oz,BTJ-BEJ-69-16,Bricktown Jerky - Soft & Tender Scorpion Pepper Beef Jerky - 2.5 oz.,2.5,oz
Jerky2.5oz,BTJ-BEJ-71-16,Bricktown Jerky - Soft & Tender Sea Salt & Pepper Beef Jerky - 2.5 oz. - DISCONTINUED,2.5,oz
Jerky2.5oz,BTJ-BEJ-11-16,Bricktown Jerky - Soft & Tender Spicy Beef Jerky - 2.5 oz.,2.5,oz
Jerky2.5oz,BTJ-BEJ-10-16,Bricktown Jerky - Soft & Tender Sweet BBQ Beef Jerky - 2.5 oz.,2.5,oz
Jerky2.5oz,BTJ-BEJ-68-16,Bricktown Jerky - Soft & Tender Tequila Lime Beef Jerky - 2.5 oz.,2.5,oz
Jerky2.5oz,BTJ-BEJ-2-16,Bricktown Jerky - Soft & Tender Teriyaki Beef Jerky - 2.5 oz.,2.5,oz
Jerky2.5oz,BTJ-BEJ-35-16,Bricktown Jerky - Soft & Tender Whiskey Beef Jerky - 2.5 oz.,2.5,oz
Jerky2.5oz,BTJ-BEJ-37-16,Bricktown Jerky - Soft & Tender Sweet Picante Beef Jerky - 2.5 oz. - DISCONTINUED,2.5,oz
Jerky2.5oz,BTJ-BEJ-38-16,Bricktown Jerky - Soft & Tender Hot Jalapeno Beef Jerky - 2.5 oz.,2.5,oz
Jerky2.5oz,BTJ-BEJ-39-16,Bricktown Jerky - Soft & Tender Mesquite BBQ Beef Jerky - 2.5 oz.,2.5,oz
Jerky2.5oz,BTJ-BEJ-47-16,Bricktown Jerky - Soft & Tender Fajita Beef Jerky - 2.5 oz.,2.5,oz
Jerky2.5oz,JCB-BEJ-64-16,Jerky.com - Au Jus Beef Jerky - 2.5 oz.,2.5,oz
